iter	Passed	Remaining
0	11	11185
1	39	19508
2	80	26849
3	109	27211
4	141	28117
5	160	26653
6	184	26229
7	220	27356
8	254	28018
9	265	26291
10	285	25685
11	316	26090
12	331	25157
13	345	24350
14	375	24664
15	405	24946
16	434	25147
17	473	25827
18	495	25561
19	530	25994
20	545	25427
21	583	25949
22	595	25299
23	614	24987
24	651	25420
25	681	25534
26	713	25717
27	756	26249
28	785	26292
29	823	26614
30	896	28023
31	920	27841
32	970	28436
33	1003	28524
34	1044	28811
35	1097	29401
36	1120	29151
37	1156	29268
38	1186	29247
39	1219	29266
40	1272	29761
41	1319	30107
42	1357	30218
43	1400	30429
44	1465	31107
45	1516	31445
46	1566	31765
47	1622	32188
48	1666	32341
49	1715	32596
50	1755	32663
51	1807	32952
52	1861	33257
53	1926	33755
54	1968	33815
55	2015	33979
56	2053	33966
57	2103	34157
58	2147	34253
59	2181	34173
60	2215	34111
61	2261	34214
62	2295	34148
63	2329	34070
64	2390	34392
65	2422	34283
66	2470	34401
67	2504	34326
68	2535	34206
69	2588	34394
70	2636	34499
71	2685	34612
72	2729	34657
73	2770	34673
74	2818	34761
75	2848	34636
76	2892	34668
77	2936	34711
78	2999	34963
79	3029	34837
80	3056	34677
81	3100	34711
82	3129	34571
83	3170	34577
84	3221	34682
85	3252	34567
86	3294	34578
87	3341	34628
88	3386	34664
89	3431	34693
90	3477	34734
91	3511	34657
92	3541	34534
93	3568	34396
94	3607	34368
95	3640	34283
96	3704	34482
97	3743	34459
98	3778	34384
99	3829	34461
100	3891	34641
101	3935	34651
102	3969	34569
103	4037	34782
104	4099	34941
105	4149	34998
106	4195	35011
107	4234	34975
108	4276	34955
109	4322	34971
110	4367	34979
111	4401	34896
112	4435	34815
113	4480	34819
114	4525	34828
115	4582	34922
116	4630	34944
117	4663	34854
118	4696	34773
119	4735	34728
120	4788	34787
121	4827	34738
122	4882	34809
123	4931	34835
124	4977	34845
125	5025	34860
126	5087	34971
127	5130	34949
128	5181	34985
129	5225	34970
130	5276	35003
131	5335	35084
132	5379	35066
133	5439	35154
134	5527	35418
135	5614	35668
136	5662	35672
137	5698	35596
138	5746	35595
139	5802	35644
140	5846	35619
141	5896	35629
142	5942	35612
143	5984	35574
144	6039	35610
145	6121	35804
146	6164	35772
147	6211	35760
148	6269	35810
149	6311	35766
150	6366	35793
151	6408	35755
152	6467	35803
153	6503	35726
154	6549	35706
155	6590	35653
156	6630	35604
157	6680	35603
158	6743	35670
159	6779	35591
160	6823	35556
161	6879	35586
162	6922	35544
163	6967	35517
164	7011	35484
165	7066	35502
166	7139	35611
167	7189	35604
168	7240	35604
169	7286	35576
170	7324	35508
171	7376	35508
172	7420	35473
173	7472	35470
174	7522	35464
175	7573	35458
176	7627	35464
177	7677	35452
178	7724	35429
179	7779	35441
180	7814	35358
181	7850	35283
182	7906	35297
183	7948	35247
184	7982	35167
185	8024	35117
186	8063	35057
187	8105	35010
188	8145	34951
189	8225	35068
190	8262	34998
191	8304	34947
192	8344	34890
193	8383	34831
194	8419	34759
195	8455	34684
196	8491	34614
197	8530	34552
198	8585	34556
199	8630	34521
200	8681	34510
201	8731	34495
202	8786	34495
203	8830	34456
204	8879	34435
205	8943	34470
206	8996	34464
207	9035	34403
208	9088	34398
209	9133	34358
210	9180	34328
211	9259	34418
212	9304	34377
213	9342	34313
214	9385	34268
215	9425	34212
216	9478	34202
217	9525	34168
218	9579	34164
219	9625	34127
220	9670	34085
221	9728	34094
222	9792	34118
223	9851	34130
224	9894	34079
225	9911	33943
226	9961	33922
227	10004	33873
228	10059	33868
229	10116	33867
230	10176	33876
231	10219	33830
232	10305	33922
233	10353	33891
234	10391	33826
235	10435	33783
236	10479	33736
237	10527	33705
238	10567	33647
239	10622	33637
240	10680	33637
241	10742	33646
242	10812	33684
243	10858	33644
244	10902	33598
245	10950	33564
246	11003	33545
247	11047	33498
248	11102	33485
249	11157	33471
250	11175	33347
251	11205	33259
252	11259	33243
253	11471	33691
254	11512	33634
255	11555	33581
256	11589	33504
257	11622	33426
258	11661	33363
259	11705	33316
260	11751	33272
261	11793	33220
262	11830	33152
263	11883	33128
264	11936	33106
265	11988	33081
266	12035	33042
267	12075	32983
268	12111	32913
269	12151	32855
270	12204	32830
271	12257	32806
272	12299	32752
273	12339	32695
274	12381	32643
275	12426	32596
276	12483	32582
277	12553	32602
278	12599	32559
279	12646	32520
280	12684	32455
281	12723	32394
282	12762	32334
283	12808	32291
284	12868	32283
285	12910	32232
286	13007	32316
287	13055	32275
288	13107	32247
289	13143	32180
290	13186	32128
291	13237	32096
292	13281	32047
293	13328	32005
294	13373	31961
295	13422	31923
296	13474	31893
297	13509	31823
298	13584	31848
299	13623	31789
300	13668	31742
301	13714	31697
302	13755	31642
303	13805	31607
304	13851	31562
305	13899	31523
306	13949	31487
307	13983	31417
308	14006	31320
309	14052	31278
310	14102	31243
311	14149	31200
312	14197	31161
313	14243	31117
314	14285	31065
315	14341	31043
316	14387	30998
317	14436	30961
318	14477	30906
319	14532	30881
320	14571	30822
321	14654	30856
322	14704	30820
323	14752	30780
324	14792	30722
325	14841	30685
326	14888	30642
327	14937	30603
328	14989	30571
329	15042	30541
330	15098	30516
331	15137	30456
332	15197	30439
333	15238	30386
334	15285	30342
335	15335	30306
336	15383	30265
337	15431	30223
338	15473	30170
339	15513	30114
340	15571	30092
341	15613	30039
342	15691	30056
343	15736	30009
344	15787	29973
345	15828	29918
346	15855	29837
347	15899	29788
348	15947	29747
349	15996	29707
350	16041	29660
351	16093	29627
352	16138	29579
353	16164	29498
354	16212	29455
355	16271	29434
356	16307	29371
357	16346	29314
358	16385	29256
359	16424	29198
360	16467	29148
361	16518	29113
362	16564	29067
363	16615	29031
364	16677	29014
365	16765	29041
366	16804	28983
367	16845	28930
368	16904	28907
369	16958	28875
370	17010	28839
371	17051	28785
372	17099	28743
373	17134	28680
374	17186	28644
375	17223	28583
376	17265	28530
377	17298	28465
378	17340	28412
379	17391	28376
380	17433	28323
381	17492	28299
382	17549	28272
383	17589	28215
384	17640	28178
385	17687	28135
386	17730	28084
387	17820	28108
388	17857	28049
389	17912	28017
390	17950	27959
391	18005	27927
392	18053	27884
393	18088	27821
394	18134	27776
395	18176	27724
396	18215	27667
397	18258	27616
398	18309	27579
399	18351	27526
400	18393	27474
401	18451	27448
402	18488	27389
403	18543	27356
404	18582	27299
405	18620	27243
406	18664	27193
407	18720	27162
408	18758	27106
409	18796	27048
410	18887	27067
411	18934	27023
412	18987	26987
413	19091	27023
414	19142	26984
415	19197	26950
416	19235	26892
417	19287	26855
418	19340	26818
419	19380	26763
420	19431	26724
421	19477	26677
422	19526	26636
423	19569	26584
424	19626	26553
425	19674	26510
426	19721	26464
427	19770	26422
428	19812	26371
429	19861	26327
430	19950	26338
431	20008	26307
432	20054	26260
433	20110	26226
434	20144	26164
435	20172	26094
436	20218	26048
437	20263	26000
438	20300	25941
439	20344	25892
440	20386	25841
441	20424	25784
442	20491	25764
443	20544	25727
444	20589	25679
445	20644	25643
446	20713	25625
447	20771	25592
448	20828	25559
449	20877	25516
450	20917	25463
451	21009	25471
452	21056	25425
453	21101	25377
454	21147	25330
455	21194	25285
456	21244	25242
457	21285	25189
458	21336	25147
459	21372	25089
460	21419	25043
461	21469	25001
462	21523	24963
463	21577	24926
464	21625	24880
465	21685	24850
466	21735	24807
467	21804	24785
468	21859	24749
469	21912	24709
470	21959	24663
471	22047	24663
472	22097	24620
473	22147	24576
474	22185	24520
475	22232	24474
476	22272	24420
477	22325	24380
478	22370	24332
479	22426	24295
480	22507	24286
481	22560	24245
482	22607	24199
483	22655	24153
484	22709	24114
485	22764	24076
486	22817	24035
487	22861	23985
488	22901	23932
489	22951	23888
490	22993	23836
491	23039	23788
492	23124	23780
493	23185	23748
494	23237	23706
495	23277	23653
496	23316	23598
497	23362	23549
498	23398	23492
499	23446	23446
500	23485	23391
501	23516	23329
502	23565	23284
503	23611	23236
504	23667	23198
505	23720	23158
506	23764	23108
507	23820	23069
508	23873	23029
509	23914	22977
510	23947	22916
511	24009	22884
512	24068	22848
513	24112	22798
514	24193	22784
515	24238	22735
516	24283	22686
517	24340	22649
518	24383	22597
519	24421	22543
520	24475	22502
521	24521	22454
522	24576	22414
523	24622	22367
524	24667	22317
525	24716	22272
526	24764	22226
527	24811	22179
528	24861	22135
529	24916	22096
530	24985	22068
531	25028	22017
532	25077	21972
533	25111	21914
534	25164	21872
535	25258	21865
536	25305	21818
537	25360	21777
538	25409	21732
539	25454	21683
540	25497	21632
541	25557	21596
542	25621	21563
543	25686	21530
544	25738	21488
545	25789	21443
546	25838	21398
547	25909	21370
548	25962	21328
549	26020	21289
550	26069	21243
551	26123	21201
552	26166	21151
553	26219	21108
554	26316	21100
555	26352	21044
556	26406	21002
557	26450	20952
558	26491	20899
559	26546	20858
560	26593	20810
561	26637	20760
562	26693	20719
563	26735	20667
564	26800	20634
565	26862	20597
566	26915	20554
567	26970	20512
568	27049	20489
569	27111	20452
570	27171	20414
571	27212	20362
572	27259	20314
573	27296	20258
574	27384	20240
575	27426	20189
576	27481	20146
577	27529	20099
578	27578	20053
579	27619	20000
580	27687	19967
581	27729	19915
582	27780	19870
583	27822	19818
584	27871	19771
585	27918	19723
586	27963	19674
587	28028	19639
588	28068	19586
589	28120	19541
590	28182	19503
591	28230	19455
592	28277	19407
593	28318	19356
594	28371	19311
595	28460	19292
596	28508	19244
597	28559	19198
598	28606	19150
599	28654	19102
600	28702	19055
601	28751	19008
602	28821	18975
603	28862	18923
604	28916	18879
605	28965	18832
606	29009	18782
607	29062	18737
608	29110	18689
609	29155	18640
610	29198	18589
611	29252	18545
612	29299	18497
613	29346	18449
614	29392	18400
615	29609	18457
616	29676	18421
617	29715	18367
618	29757	18316
619	29797	18262
620	29831	18206
621	29861	18147
622	29902	18095
623	29938	18039
624	29979	17987
625	30024	17937
626	30067	17887
627	30106	17833
628	30153	17785
629	30196	17734
630	30248	17688
631	30292	17638
632	30341	17591
633	30385	17541
634	30439	17496
635	30481	17445
636	30524	17394
637	30580	17351
638	30629	17304
639	30713	17276
640	30769	17233
641	30817	17184
642	30856	17131
643	30905	17084
644	30953	17036
645	31007	16991
646	31050	16940
647	31088	16887
648	31147	16845
649	31191	16795
650	31246	16751
651	31325	16719
652	31364	16666
653	31409	16617
654	31465	16573
655	31500	16518
656	31529	16460
657	31586	16417
658	31631	16367
659	31687	16323
660	31786	16302
661	31829	16251
662	31877	16203
663	31910	16147
664	31952	16096
665	31996	16046
666	32044	15998
667	32096	15952
668	32141	15902
669	32186	15853
670	32225	15800
671	32269	15750
672	32308	15698
673	32370	15656
674	32407	15603
675	32465	15560
676	32529	15520
677	32584	15475
678	32632	15427
679	32671	15374
680	32728	15330
681	32811	15299
682	32854	15248
683	32921	15209
684	32965	15159
685	33012	15110
686	33063	15063
687	33118	15018
688	33167	14970
689	33215	14922
690	33264	14875
691	33305	14823
692	33356	14777
693	33404	14728
694	33450	14679
695	33502	14633
696	33560	14589
697	33606	14540
698	33637	14484
699	33681	14435
700	33742	14392
701	33780	14339
702	33871	14309
703	33931	14266
704	33973	14215
705	34024	14168
706	34073	14120
707	34120	14072
708	34183	14030
709	34223	13978
710	34265	13927
711	34302	13875
712	34364	13832
713	34426	13789
714	34477	13742
715	34533	13697
716	34577	13647
717	34654	13610
718	34706	13564
719	34749	13513
720	34807	13469
721	34849	13418
722	34922	13379
723	34976	13333
724	35025	13285
725	35064	13233
726	35120	13188
727	35171	13140
728	35207	13088
729	35260	13041
730	35305	12991
731	35352	12943
732	35401	12895
733	35445	12845
734	35499	12799
735	35547	12750
736	35592	12701
737	35643	12654
738	35699	12608
739	35755	12562
740	35797	12512
741	35844	12463
742	35888	12413
743	35942	12367
744	36032	12333
745	36077	12283
746	36132	12237
747	36177	12188
748	36227	12140
749	36273	12091
750	36319	12042
751	36356	11989
752	36404	11941
753	36456	11894
754	36515	11849
755	36557	11798
756	36606	11750
757	36671	11707
758	36714	11657
759	36768	11611
760	36817	11562
761	36861	11513
762	36921	11468
763	36970	11420
764	37020	11372
765	37108	11336
766	37149	11285
767	37189	11234
768	37243	11187
769	37292	11139
770	37337	11089
771	37388	11042
772	37431	10992
773	37494	10948
774	37532	10896
775	37608	10855
776	37656	10807
777	37723	10764
778	37781	10718
779	37837	10672
780	37880	10622
781	37920	10571
782	37972	10523
783	38023	10475
784	38072	10427
785	38169	10392
786	38210	10341
787	38256	10292
788	38303	10243
789	38350	10194
790	38400	10146
791	38462	10101
792	38514	10053
793	38564	10005
794	38627	9960
795	38679	9912
796	38724	9863
797	38776	9815
798	38826	9767
799	38873	9718
800	38923	9670
801	38967	9620
802	39011	9570
803	39054	9520
804	39100	9471
805	39207	9437
806	39242	9385
807	39280	9334
808	39334	9286
809	39374	9235
810	39428	9188
811	39476	9139
812	39520	9090
813	39555	9038
814	39619	8993
815	39708	8953
816	39759	8905
817	39805	8856
818	39856	8808
819	39903	8759
820	39945	8709
821	39998	8661
822	40044	8612
823	40092	8563
824	40141	8514
825	40197	8467
826	40290	8428
827	40346	8381
828	40393	8332
829	40430	8280
830	40478	8232
831	40534	8184
832	40571	8133
833	40609	8083
834	40657	8034
835	40712	7986
836	40756	7937
837	40797	7886
838	40854	7839
839	40893	7789
840	40947	7741
841	40989	7691
842	41034	7642
843	41076	7592
844	41124	7543
845	41168	7494
846	41217	7445
847	41277	7398
848	41368	7357
849	41409	7307
850	41450	7257
851	41509	7210
852	41572	7164
853	41627	7116
854	41686	7069
855	41742	7022
856	41787	6972
857	41843	6925
858	41911	6879
859	41963	6831
860	42009	6781
861	42051	6732
862	42093	6682
863	42137	6632
864	42193	6585
865	42251	6537
866	42310	6490
867	42520	6466
868	42588	6420
869	42620	6368
870	42669	6319
871	42705	6268
872	42748	6218
873	42791	6169
874	42840	6120
875	42885	6070
876	42937	6022
877	42988	5973
878	43025	5922
879	43080	5874
880	43121	5824
881	43178	5776
882	43237	5729
883	43282	5679
884	43336	5631
885	43381	5581
886	43434	5533
887	43488	5485
888	43529	5435
889	43596	5388
890	43656	5340
891	43699	5291
892	43744	5241
893	43783	5191
894	43827	5141
895	43864	5091
896	43921	5043
897	43967	4994
898	44009	4944
899	44061	4895
900	44099	4845
901	44145	4796
902	44189	4746
903	44239	4698
904	44281	4648
905	44327	4599
906	44377	4550
907	44421	4500
908	44469	4451
909	44529	4403
910	44588	4356
911	44628	4306
912	44710	4260
913	44752	4210
914	44803	4162
915	44850	4112
916	44898	4063
917	44947	4014
918	44994	3965
919	45036	3916
920	45087	3867
921	45133	3818
922	45184	3769
923	45229	3720
924	45276	3671
925	45322	3621
926	45375	3573
927	45437	3525
928	45495	3477
929	45568	3429
930	45628	3381
931	45681	3333
932	45765	3286
933	45807	3236
934	45851	3187
935	45893	3137
936	45939	3088
937	45982	3039
938	46041	2990
939	46080	2941
940	46117	2891
941	46174	2842
942	46224	2794
943	46303	2746
944	46362	2698
945	46402	2648
946	46446	2599
947	46495	2550
948	46533	2500
949	46581	2451
950	46626	2402
951	46677	2353
952	46728	2304
953	46833	2258
954	46877	2208
955	46921	2159
956	46959	2110
957	46999	2060
958	47053	2011
959	47100	1962
960	47156	1913
961	47220	1865
962	47280	1816
963	47382	1769
964	47430	1720
965	47481	1671
966	47525	1621
967	47576	1572
968	47626	1523
969	47683	1474
970	47734	1425
971	47791	1376
972	47904	1329
973	47958	1280
974	47999	1230
975	48052	1181
976	48106	1132
977	48151	1083
978	48209	1034
979	48258	984
980	48306	935
981	48361	886
982	48419	837
983	48463	788
984	48502	738
985	48557	689
986	48603	640
987	48651	590
988	48700	541
989	48759	492
990	48802	443
991	48857	394
992	48906	344
993	48995	295
994	49043	246
