iter	Logloss
0	0.6124121232
1	0.5461629433
2	0.4906052151
3	0.4447757508
4	0.4070468651
5	0.3749844874
6	0.3495138786
7	0.3284840132
8	0.3082841953
9	0.2906277374
10	0.2752383243
11	0.2619096827
12	0.2526723611
13	0.2437780763
14	0.2353374781
15	0.2269595313
16	0.2189736346
17	0.2122524616
18	0.2074402941
19	0.2027141794
20	0.1987382055
21	0.1951811681
22	0.1923817425
23	0.1899830503
24	0.1876646701
25	0.1857791286
26	0.1838773248
27	0.182196806
28	0.180935
29	0.179601731
30	0.1787513781
31	0.1779610881
32	0.1769330043
33	0.1759191759
34	0.174990016
35	0.1738903062
36	0.1729995097
37	0.1721949276
38	0.1713661635
39	0.1707822779
40	0.1701545815
41	0.1694659893
42	0.1686338842
43	0.1678407219
44	0.1671172467
45	0.1665513528
46	0.1658562856
47	0.1655203267
48	0.1652137874
49	0.1649078959
50	0.1644003232
51	0.1640245754
52	0.1636525426
53	0.1631961136
54	0.1629112563
55	0.1625460906
56	0.1621803767
57	0.1618849685
58	0.1616564479
59	0.1614393207
60	0.16129241
61	0.1610822121
62	0.1608791933
63	0.1606551891
64	0.1605309018
65	0.1603182834
66	0.1601396676
67	0.1598630011
68	0.1596178891
69	0.1594474164
70	0.1592649096
71	0.1590722548
72	0.1589824773
73	0.1588670139
74	0.158649619
75	0.1585619597
76	0.1584423985
77	0.1582460408
78	0.1579555082
79	0.1577592698
80	0.1576510076
81	0.157502455
82	0.1572198592
83	0.1570687833
84	0.1569134459
85	0.1567858117
86	0.1566262169
87	0.1565559182
88	0.1564895071
89	0.1564098103
90	0.1562714229
91	0.1560620869
92	0.1559233887
93	0.155851378
94	0.1556238107
95	0.1556048483
96	0.1554615426
97	0.1552963791
98	0.1552575432
99	0.1551738606
100	0.1550868328
101	0.1549878418
102	0.1548800825
103	0.1547947695
104	0.1547121598
105	0.1546445393
106	0.1545023083
107	0.154408427
108	0.1542800153
109	0.154097711
110	0.1540379937
111	0.1539315899
112	0.1538461562
113	0.1538379771
114	0.153795103
115	0.1537155834
116	0.1536841664
117	0.1535452695
118	0.1534630945
119	0.153374355
120	0.1533116385
121	0.1532303963
122	0.1530842189
123	0.1530527877
124	0.1529565043
125	0.1527777797
126	0.1526896987
127	0.1526066728
128	0.1525525918
129	0.1524607942
130	0.1523780291
131	0.1523120781
132	0.1522353147
133	0.1521113903
134	0.1520288535
135	0.1519594439
136	0.1518279889
137	0.1517299196
138	0.1516553299
139	0.1515536819
140	0.151471886
141	0.1513908723
142	0.1513227551
143	0.1512737615
144	0.1512092165
145	0.150978856
146	0.1509531254
147	0.1508391415
148	0.1507194261
149	0.1505415479
150	0.1504603585
151	0.1504365161
152	0.1503794674
153	0.1503646304
154	0.1502988273
155	0.1502625011
156	0.1501655501
157	0.1500489638
