iter	Passed	Remaining
0	28	28578
1	50	25362
2	62	20631
3	72	18097
4	92	18392
5	110	18316
6	126	17962
7	134	16677
8	161	17766
9	179	17785
10	208	18758
11	237	19540
12	306	23235
13	375	26472
14	436	28632
15	480	29529
16	508	29410
17	538	29386
18	567	29299
19	605	29650
20	633	29529
21	659	29313
22	737	31331
23	835	33980
24	865	33755
25	907	33999
26	943	34002
27	976	33884
28	1005	33650
29	1042	33708
30	1064	33283
31	1096	33165
32	1175	34437
33	1270	36107
34	1322	36475
35	1369	36684
36	1403	36517
37	1447	36633
38	1476	36388
39	1505	36134
40	1536	35935
41	1571	35851
42	1602	35670
43	1643	35713
44	1685	35770
45	1710	35481
46	1759	35681
47	1819	36088
48	1859	36092
49	1890	35912
50	1928	35881
51	1973	35978
52	2021	36121
53	2050	35929
54	2080	35749
55	2113	35629
56	2145	35501
57	2180	35418
58	2225	35500
59	2282	35758
60	2326	35811
61	2363	35763
62	2455	36517
63	2488	36394
64	2532	36425
65	2557	36188
66	2649	36892
67	2743	37601
68	2821	38073
69	2891	38420
70	2986	39077
71	3066	39523
72	3120	39628
73	3155	39483
74	3210	39598
75	3244	39450
76	3300	39562
77	3354	39652
78	3389	39511
79	3468	39888
80	3545	40228
81	3624	40573
82	3667	40522
83	3707	40424
84	3738	40243
85	3783	40209
86	3821	40104
87	3859	39999
88	3913	40061
89	3957	40017
90	4012	40085
91	4069	40169
92	4185	40821
93	4218	40657
94	4321	41163
95	4360	41064
96	4428	41227
97	4478	41222
98	4548	41391
99	4589	41303
100	4684	41695
101	4718	41541
102	4760	41458
103	4800	41356
104	4836	41221
105	4916	41462
106	5013	41845
107	5060	41799
108	5102	41705
109	5139	41585
110	5177	41464
111	5230	41472
112	5277	41428
113	5295	41157
114	5350	41177
115	5402	41170
116	5444	41093
117	5479	40953
118	5531	40952
119	5581	40928
120	5616	40797
121	5661	40746
122	5735	40895
123	5801	40986
124	5837	40861
125	5926	41109
126	5970	41043
127	6072	41371
128	6175	41696
129	6247	41812
130	6341	42064
131	6433	42303
132	6525	42537
133	6613	42739
134	6692	42882
135	6733	42777
136	6828	43012
137	6961	43482
138	7000	43365
139	7096	43591
140	7188	43790
141	7284	44013
142	7390	44291
143	7431	44175
144	7522	44356
145	7606	44490
146	7647	44375
147	7733	44521
148	7778	44426
149	7850	44485
150	7887	44348
151	7992	44590
152	8097	44824
153	8186	44972
154	8243	44940
155	8300	44909
156	8415	45186
157	8458	45078
158	8489	44901
159	8583	45065
160	8737	45534
161	8791	45477
162	8897	45686
163	8970	45725
164	9038	45738
165	9101	45725
166	9141	45599
167	9232	45724
168	9291	45687
169	9344	45621
170	9410	45623
171	9453	45508
172	9553	45669
173	9599	45569
174	9632	45411
175	9683	45336
176	9768	45422
177	9833	45413
178	9877	45306
179	9911	45150
180	9969	45112
181	10026	45065
182	10081	45010
183	10127	44914
184	10182	44857
185	10239	44813
186	10306	44809
187	10340	44663
188	10397	44616
189	10438	44501
190	10490	44434
191	10576	44508
192	10611	44370
193	10735	44602
194	10835	44732
195	10930	44836
196	10980	44757
197	11035	44700
198	11104	44697
199	11190	44763
200	11236	44665
201	11343	44813
202	11384	44695
203	11478	44787
204	11555	44811
205	11594	44688
206	11632	44564
207	11716	44612
208	11765	44526
209	11806	44416
210	11894	44475
211	11943	44394
212	12025	44432
213	12072	44339
214	12146	44349
215	12207	44308
216	12244	44181
217	12321	44198
218	12422	44301
219	12466	44198
220	12511	44102
221	12548	43976
222	12593	43878
223	12641	43794
224	12732	43855
225	12831	43946
226	12887	43885
227	12992	43991
228	13035	43886
229	13080	43791
230	13159	43808
231	13225	43780
232	13323	43858
233	13372	43774
234	13456	43805
235	13493	43683
236	13555	43642
237	13591	43515
238	13678	43555
239	13732	43485
240	13825	43542
241	13922	43607
242	13957	43481
243	14064	43576
244	14163	43647
245	14268	43733
246	14322	43663
247	14403	43674
248	14462	43618
249	14547	43642
250	14581	43512
251	14616	43386
252	14719	43460
253	14782	43416
254	14823	43307
255	14913	43343
256	15004	43377
257	15075	43357
258	15173	43411
259	15210	43290
260	15281	43268
261	15376	43312
262	15416	43200
263	15496	43201
264	15529	43071
265	15651	43189
266	15708	43124
267	15798	43151
268	15839	43042
269	15873	42917
270	15951	42909
271	15993	42807
272	16071	42798
273	16168	42841
274	16253	42849
275	16320	42811
276	16370	42727
277	16409	42618
278	16448	42507
279	16505	42442
280	16556	42364
281	16620	42316
282	16653	42192
283	16695	42091
284	16750	42023
285	16785	41905
286	16884	41947
287	16921	41834
288	16987	41791
289	17028	41689
290	17110	41689
291	17177	41650
292	17211	41531
293	17265	41460
294	17349	41461
295	17387	41354
296	17467	41345
297	17525	41283
298	17557	41163
299	17606	41081
300	17661	41014
301	17704	40920
302	17744	40819
303	17793	40738
304	17849	40674
305	17888	40570
306	17936	40488
307	17988	40416
308	18072	40414
309	18111	40311
310	18155	40222
311	18228	40196
312	18274	40111
313	18320	40026
314	18366	39940
315	18427	39886
316	18462	39779
317	18503	39684
318	18615	39740
319	18705	39749
320	18746	39652
321	18822	39631
322	18915	39646
323	18983	39606
324	19023	39509
325	19127	39544
326	19203	39523
327	19287	39515
328	19394	39556
329	19488	39566
330	19526	39466
331	19577	39391
332	19610	39279
333	19683	39249
334	19779	39263
335	19819	39167
336	19884	39119
337	19941	39057
338	19998	38994
339	20051	38923
340	20106	38857
341	20185	38835
342	20282	38850
343	20386	38875
344	20436	38800
345	20523	38792
346	20560	38691
347	20653	38695
348	20710	38631
349	20769	38571
350	20802	38464
351	20893	38462
352	20931	38365
353	20987	38298
354	21042	38232
355	21072	38120
356	21150	38093
357	21187	37995
358	21224	37897
359	21261	37798
360	21345	37784
361	21407	37729
362	21454	37648
363	21547	37648
364	21641	37651
365	21682	37560
366	21740	37497
367	21784	37412
368	21862	37386
369	21899	37288
370	21996	37293
371	22035	37198
372	22109	37165
373	22198	37155
374	22283	37138
375	22368	37122
376	22428	37063
377	22492	37012
378	22581	37001
379	22619	36906
380	22715	36905
381	22752	36809
382	22797	36725
383	22907	36746
384	22984	36715
385	23070	36697
386	23105	36598
387	23152	36519
388	23192	36428
389	23292	36431
390	23392	36435
391	23491	36435
392	23537	36354
393	23578	36266
394	23664	36245
395	23701	36150
396	23752	36077
397	23845	36067
398	23883	35974
399	23984	35976
400	24055	35932
401	24110	35866
402	24185	35828
403	24299	35847
404	24335	35751
405	24377	35665
406	24427	35591
407	24515	35572
408	24557	35485
409	24664	35492
410	24700	35398
411	24796	35389
412	24882	35365
413	24918	35270
414	25005	35249
415	25045	35160
416	25132	35137
417	25232	35131
418	25292	35071
419	25385	35056
420	25484	35048
421	25548	34993
422	25602	34923
423	25651	34847
424	25725	34805
425	25787	34746
426	25881	34731
427	25967	34704
428	26007	34616
429	26078	34568
430	26149	34521
431	26229	34486
432	26270	34401
433	26340	34352
434	26399	34289
435	26440	34203
436	26511	34155
437	26612	34147
438	26686	34102
439	26742	34035
440	26796	33967
441	26851	33898
442	26902	33825
443	26998	33808
444	27077	33770
445	27164	33742
446	27236	33695
447	27279	33611
448	27379	33599
449	27452	33553
450	27518	33497
451	27568	33424
452	27609	33338
453	27674	33283
454	27728	33213
455	27771	33131
456	27865	33109
457	27958	33086
458	28015	33020
459	28060	32940
460	28100	32854
461	28204	32844
462	28250	32765
463	28289	32678
464	28377	32649
465	28442	32593
466	28534	32566
467	28565	32471
468	28604	32385
469	28706	32370
470	28782	32327
471	28849	32271
472	28886	32184
473	28921	32094
474	28955	32003
475	28993	31917
476	29082	31886
477	29177	31863
478	29270	31836
479	29309	31752
480	29433	31758
481	29540	31746
482	29633	31719
483	29744	31711
484	29800	31643
485	29835	31554
486	29927	31524
487	29954	31428
